,date,state,fips,cases,deaths
225,2020-02-28,Oregon,41,1,0
235,2020-02-29,Oregon,41,1,0
247,2020-03-01,Oregon,41,2,0
262,2020-03-02,Oregon,41,2,0
278,2020-03-03,Oregon,41,2,0
295,2020-03-04,Oregon,41,2,0
315,2020-03-05,Oregon,41,2,0
341,2020-03-06,Oregon,41,2,0
372,2020-03-07,Oregon,41,6,0
407,2020-03-08,Oregon,41,13,0
444,2020-03-09,Oregon,41,13,0
482,2020-03-10,Oregon,41,14,0
526,2020-03-11,Oregon,41,20,0
573,2020-03-12,Oregon,41,30,0
623,2020-03-13,Oregon,41,30,0
674,2020-03-14,Oregon,41,36,1
727,2020-03-15,Oregon,41,39,1
780,2020-03-16,Oregon,41,46,1
833,2020-03-17,Oregon,41,66,2
887,2020-03-18,Oregon,41,74,3
941,2020-03-19,Oregon,41,87,3
995,2020-03-20,Oregon,41,114,3
1049,2020-03-21,Oregon,41,137,4
1103,2020-03-22,Oregon,41,161,5
1157,2020-03-23,Oregon,41,191,5
1211,2020-03-24,Oregon,41,209,8
1265,2020-03-25,Oregon,41,266,10
1319,2020-03-26,Oregon,41,316,11
1373,2020-03-27,Oregon,41,414,12
1428,2020-03-28,Oregon,41,479,13
1483,2020-03-29,Oregon,41,548,13
1538,2020-03-30,Oregon,41,606,16
1593,2020-03-31,Oregon,41,690,18
1648,2020-04-01,Oregon,41,736,19
1703,2020-04-02,Oregon,41,826,21
1758,2020-04-03,Oregon,41,899,22
1813,2020-04-04,Oregon,41,999,26
1868,2020-04-05,Oregon,41,1068,27
1923,2020-04-06,Oregon,41,1132,29
1978,2020-04-07,Oregon,41,1181,33
2033,2020-04-08,Oregon,41,1239,38
2088,2020-04-09,Oregon,41,1321,44
2143,2020-04-10,Oregon,41,1371,48
2198,2020-04-11,Oregon,41,1447,51
2253,2020-04-12,Oregon,41,1527,52
2308,2020-04-13,Oregon,41,1584,53
2363,2020-04-14,Oregon,41,1633,55
2418,2020-04-15,Oregon,41,1663,58
2473,2020-04-16,Oregon,41,1736,64
2528,2020-04-17,Oregon,41,1785,70
2583,2020-04-18,Oregon,41,1844,72
2638,2020-04-19,Oregon,41,1910,74
2693,2020-04-20,Oregon,41,1956,75
2748,2020-04-21,Oregon,41,2002,78
2803,2020-04-22,Oregon,41,2059,78
2858,2020-04-23,Oregon,41,2127,83
2913,2020-04-24,Oregon,41,2177,86
2968,2020-04-25,Oregon,41,2253,87
3023,2020-04-26,Oregon,41,2311,91
3078,2020-04-27,Oregon,41,2354,92
3133,2020-04-28,Oregon,41,2385,99
3188,2020-04-29,Oregon,41,2446,101
