,date,state,fips,cases,deaths
0,2020-01-21,Washington,53,1,0
1,2020-01-22,Washington,53,1,0
2,2020-01-23,Washington,53,1,0
4,2020-01-24,Washington,53,1,0
7,2020-01-25,Washington,53,1,0
11,2020-01-26,Washington,53,1,0
15,2020-01-27,Washington,53,1,0
19,2020-01-28,Washington,53,1,0
23,2020-01-29,Washington,53,1,0
27,2020-01-30,Washington,53,1,0
31,2020-01-31,Washington,53,1,0
36,2020-02-01,Washington,53,1,0
41,2020-02-02,Washington,53,1,0
46,2020-02-03,Washington,53,1,0
51,2020-02-04,Washington,53,1,0
56,2020-02-05,Washington,53,1,0
62,2020-02-06,Washington,53,1,0
68,2020-02-07,Washington,53,1,0
74,2020-02-08,Washington,53,1,0
80,2020-02-09,Washington,53,1,0
86,2020-02-10,Washington,53,1,0
92,2020-02-11,Washington,53,1,0
99,2020-02-12,Washington,53,1,0
106,2020-02-13,Washington,53,1,0
113,2020-02-14,Washington,53,1,0
120,2020-02-15,Washington,53,1,0
127,2020-02-16,Washington,53,1,0
135,2020-02-17,Washington,53,1,0
143,2020-02-18,Washington,53,1,0
151,2020-02-19,Washington,53,1,0
159,2020-02-20,Washington,53,1,0
167,2020-02-21,Washington,53,1,0
175,2020-02-22,Washington,53,1,0
183,2020-02-23,Washington,53,1,0
191,2020-02-24,Washington,53,5,0
200,2020-02-25,Washington,53,5,0
209,2020-02-26,Washington,53,5,0
218,2020-02-27,Washington,53,5,0
228,2020-02-28,Washington,53,7,0
238,2020-02-29,Washington,53,10,1
251,2020-03-01,Washington,53,17,3
266,2020-03-02,Washington,53,23,6
282,2020-03-03,Washington,53,32,10
299,2020-03-04,Washington,53,47,11
320,2020-03-05,Washington,53,75,11
348,2020-03-06,Washington,53,86,12
381,2020-03-07,Washington,53,110,16
416,2020-03-08,Washington,53,141,19
453,2020-03-09,Washington,53,179,22
492,2020-03-10,Washington,53,279,24
536,2020-03-11,Washington,53,338,29
583,2020-03-12,Washington,53,419,32
634,2020-03-13,Washington,53,511,37
686,2020-03-14,Washington,53,609,40
739,2020-03-15,Washington,53,675,42
792,2020-03-16,Washington,53,794,48
845,2020-03-17,Washington,53,908,54
899,2020-03-18,Washington,53,1026,68
953,2020-03-19,Washington,53,1228,75
1007,2020-03-20,Washington,53,1404,83
1061,2020-03-21,Washington,53,1655,95
1115,2020-03-22,Washington,53,1844,97
1169,2020-03-23,Washington,53,2101,110
1223,2020-03-24,Washington,53,2469,123
1277,2020-03-25,Washington,53,2585,130
1331,2020-03-26,Washington,53,3208,151
1385,2020-03-27,Washington,53,3770,177
1440,2020-03-28,Washington,53,4311,191
1495,2020-03-29,Washington,53,4896,207
1550,2020-03-30,Washington,53,5179,221
1605,2020-03-31,Washington,53,5292,226
1660,2020-04-01,Washington,53,5588,249
1715,2020-04-02,Washington,53,6585,272
1770,2020-04-03,Washington,53,6966,293
1825,2020-04-04,Washington,53,7498,318
1880,2020-04-05,Washington,53,7984,344
1935,2020-04-06,Washington,53,8384,383
1990,2020-04-07,Washington,53,8682,409
2045,2020-04-08,Washington,53,9097,430
2100,2020-04-09,Washington,53,9608,456
2155,2020-04-10,Washington,53,9887,483
2210,2020-04-11,Washington,53,10224,498
2265,2020-04-12,Washington,53,10411,511
2320,2020-04-13,Washington,53,10538,525
2375,2020-04-14,Washington,53,10694,552
2430,2020-04-15,Washington,53,10783,572
2485,2020-04-16,Washington,53,11152,588
2540,2020-04-17,Washington,53,11445,610
2595,2020-04-18,Washington,53,11802,629
2650,2020-04-19,Washington,53,11805,637
2705,2020-04-20,Washington,53,12191,661
2760,2020-04-21,Washington,53,12345,683
2815,2020-04-22,Washington,53,12539,696
2870,2020-04-23,Washington,53,12906,717
2925,2020-04-24,Washington,53,13120,731
2980,2020-04-25,Washington,53,13484,743
3035,2020-04-26,Washington,53,13663,757
3090,2020-04-27,Washington,53,13864,771
3145,2020-04-28,Washington,53,14059,792
3200,2020-04-29,Washington,53,14378,805
